"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2075","Registration with correct email, username and password","LMS system","Tue Apr 28 14:58:31 UTC 2026","passed","Tue Apr 28 14:58:33 UTC 2026","Registration","Authentication","",""
"","2184","Navigation from login page to registration page","LMS system","Tue Apr 28 14:58:29 UTC 2026","passed","Tue Apr 28 14:58:31 UTC 2026","Authorization","Authentication","",""
"","1755","Check displaying of dashboard page","LMS system","Tue Apr 28 14:58:39 UTC 2026","passed","Tue Apr 28 14:58:41 UTC 2026","Dashboard","Dashboard","",""
"","3659","User login with correct email and password","LMS system","Tue Apr 28 14:58:27 UTC 2026","passed","Tue Apr 28 14:58:30 UTC 2026","Authorization","Authentication","",""
"","3226","Create course","LMS system","Tue Apr 28 14:58:35 UTC 2026","passed","Tue Apr 28 14:58:38 UTC 2026","Courses","Courses","",""
"","1665","User login with wrong email or password","LMS system","Tue Apr 28 14:58:27 UTC 2026","passed","Tue Apr 28 14:58:28 UTC 2026","Authorization","Authentication","",""
"","3403","Edit course","LMS system","Tue Apr 28 14:58:35 UTC 2026","passed","Tue Apr 28 14:58:39 UTC 2026","Courses","Courses","",""
"","1949","Check displaying of empty courses list","LMS system","Tue Apr 28 14:58:33 UTC 2026","passed","Tue Apr 28 14:58:35 UTC 2026","Courses","Courses","",""
"","2118","User login with wrong email or password","LMS system","Tue Apr 28 14:58:24 UTC 2026","passed","Tue Apr 28 14:58:26 UTC 2026","Authorization","Authentication","",""
"","2107","User login with wrong email or password","LMS system","Tue Apr 28 14:58:24 UTC 2026","passed","Tue Apr 28 14:58:26 UTC 2026","Authorization","Authentication","",""
